id_anggota,usia,jenis_kelamin,status_perkawinan,pendidikan,pekerjaan,penghasilan_bulanan,lama_keanggotaan,jumlah_pinjaman,tenor_pinjaman,suku_bunga,jumlah_tanggungan,riwayat_pinjaman,keterlambatan_bayar,rasio_hutang,simpanan_wajib,simpanan_sukarela,status_pinjaman,kota,simpanan_pokok,jenis_anggota,partisipasi_rat,transaksi_koperasi,sistem_potong_gaji,status_keaktifan
14,31,P,Belum Menikah,SMA,Wiraswasta,4511000,46,10367000,24,12,0,1,1,0.121,4600000,1128000,1,Semarang,100000,Biasa,Ya,2034000,Tidak,Aktif
15,33,P,Menikah,S1,Karyawan Swasta,7607000,49,20406000,12,11,0,1,1,0.247,4900000,558000,0,Surabaya,100000,Biasa,Ya,2631000,Ya,Pasif
16,29,L,Menikah,D3,Petani,2807000,23,20718000,48,13,0,0,0,0.227,1150000,427000,0,Bandung,100000,Biasa,Tidak,651000,Tidak,Pasif
17,35,P,Belum Menikah,S1,Guru,6107000,54,16646000,24,12,1,1,0,0.154,10800000,366000,0,Semarang,100000,Biasa,Tidak,2282000,Ya,Aktif
18,38,L,Belum Menikah,SMA,Wiraswasta,6628000,76,56250000,60,13,0,2,1,0.212,15200000,371000,0,Surabaya,100000,Biasa,Tidak,1370000,Tidak,Pasif
19,31,L,Belum Menikah,S1,Karyawan Swasta,9223000,31,32899000,24,12,0,0,0,0.19,6200000,458000,0,Surabaya,100000,Biasa,Ya,2944000,Ya,Pasif
20,44,P,Menikah,S2,PNS,8787000,45,55102000,36,12,3,3,1,0.243,6750000,724000,0,Palembang,100000,Biasa,Tidak,3845000,Ya,Pasif
21,28,L,Menikah,D3,Nelayan,3174000,25,5045000,12,11,1,0,0,0.198,1250000,195000,0,Bandung,100000,Biasa,Tidak,1951000,Tidak,Pasif
22,51,P,Menikah,SMA,Karyawan Swasta,6734000,74,15032000,24,12,4,2,1,0.183,11100000,1989000,0,Semarang,100000,Biasa,Ya,7011000,Ya,Aktif
23,39,P,Belum Menikah,SMA,Wiraswasta,6904000,34,35676000,24,12,1,1,0,0.29,5100000,1412000,1,Jakarta,100000,Biasa,Ya,3016000,Tidak,Aktif
24,52,P,Menikah,D3,Karyawan Swasta,7976000,70,54632000,24,12,2,1,0,0.384,10500000,1079000,0,Makassar,100000,Biasa,Tidak,747000,Ya,Pasif
25,57,P,Menikah,SMA,Guru,5052000,52,10234000,12,10,2,0,0,0.253,5200000,718000,0,Jakarta,100000,Biasa,Ya,4910000,Ya,Aktif
26,40,P,Menikah,SMA,Wiraswasta,5549000,89,28328000,24,12,1,1,1,0.255,13350000,772000,0,Medan,100000,Biasa,Ya,5637000,Tidak,Aktif
27,36,P,Belum Menikah,D3,Wiraswasta,6528000,40,23353000,24,12,0,1,0,0.189,6000000,808000,0,Surabaya,100000,Biasa,Ya,4910000,Tidak,Aktif
28,28,P,Belum Menikah,SMA,UMKM,3382000,51,7101000,24,12,0,2,1,0.126,2550000,242000,0,Semarang,100000,Biasa,Ya,603000,Tidak,Pasif
29,40,L,Menikah,SMA,Petani,2566000,18,7344000,24,12,3,1,0,0.29,900000,282000,0,Makassar,100000,Biasa,Tidak,719000,Tidak,Aktif
30,28,P,Menikah,SMA,UMKM,2895000,54,10135000,36,13,1,0,0,0.136,2700000,899000,0,Palembang,100000,Biasa,Ya,1773000,Tidak,Aktif
31,33,P,Menikah,SMA,PNS,4294000,25,31129000,36,13,4,0,0,0.296,1250000,538000,1,Semarang,100000,Biasa,Ya,1214000,Ya,Aktif
32,56,P,Menikah,SMA,Karyawan Swasta,6139000,36,67529000,60,13,1,1,0,0.262,5400000,746000,0,Palembang,100000,Biasa,Ya,7963000,Ya,Aktif
33,39,L,Menikah,S1,Guru,6838000,85,19437000,24,12,1,1,0,0.168,17000000,1092000,0,Semarang,100000,Biasa,Ya,7648000,Ya,Aktif
34,54,P,Menikah,S1,PNS,11860000,45,54488000,36,12,2,2,0,0.245,6750000,1280000,0,Palembang,100000,Biasa,Ya,14641000,Tidak,Aktif
35,42,L,Menikah,D3,UMKM,4428000,44,20843000,24,12,2,0,0,0.229,4400000,337000,0,Yogyakarta,100000,Biasa,Tidak,1799000,Tidak,Pasif
36,37,P,Menikah,S1,Karyawan Swasta,6942000,101,31450000,36,14,2,2,1,0.175,15150000,1736000,0,Yogyakarta,100000,Biasa,Ya,4297000,Tidak,Aktif
37,47,L,Belum Menikah,SMA,Wiraswasta,8353000,160,35292000,36,11,0,3,0,0.177,24000000,2089000,0,Surabaya,100000,Biasa,Ya,6737000,Ya,Aktif
38,31,P,Belum Menikah,SMA,Wiraswasta,5714000,58,40580000,36,12,0,2,1,0.321,5800000,919000,1,Surabaya,100000,Biasa,Ya,12313000,Tidak,Aktif
39,37,L,Menikah,SMA,Wiraswasta,6890000,17,17454000,24,12,4,0,0,0.284,2550000,527000,1,Semarang,100000,Biasa,Ya,466000,Tidak,Aktif
40,38,P,Menikah,D3,Buruh,2738000,85,14422000,24,13,0,3,0,0.267,4250000,830000,0,Bandung,100000,Biasa,Ya,3476000,Tidak,Aktif
41,33,L,Menikah,S1,Pedagang,6704000,50,59079000,36,13,4,3,1,0.311,5000000,1621000,1,Yogyakarta,100000,Biasa,Ya,17824000,Tidak,Aktif
42,28,L,Belum Menikah,SMA,Guru,4210000,53,11213000,24,12,0,1,0,0.142,5300000,137000,1,Yogyakarta,100000,Biasa,Tidak,3124000,Ya,Pasif
43,42,P,Menikah,D3,PNS,4820000,34,26125000,36,12,3,0,0,0.215,3400000,491000,0,Yogyakarta,100000,Biasa,Ya,7089000,Ya,Aktif
44,31,L,Menikah,S1,Wiraswasta,9587000,54,34057000,24,12,2,0,0,0.244,10800000,1730000,0,Bandung,100000,Biasa,Ya,1125000,Tidak,Aktif
45,34,P,Menikah,S1,Guru,9089000,18,59129000,24,11,0,2,1,0.319,3600000,436000,0,Bandung,100000,Biasa,Ya,749000,Ya,Aktif
46,33,P,Menikah,S2,Pedagang,7232000,13,26580000,24,13,1,0,0,0.187,1950000,450000,0,Surabaya,100000,Biasa,Ya,4083000,Tidak,Aktif
47,39,L,Belum Menikah,S1,Wiraswasta,13152000,43,84015000,36,13,1,1,0,0.252,8600000,1049000,0,Bandung,100000,Biasa,Ya,1351000,Tidak,Pasif
48,38,P,Belum Menikah,SMA,Nelayan,2889000,25,11151000,24,13,1,1,0,0.232,1250000,469000,0,Palembang,100000,Biasa,Ya,1473000,Tidak,Aktif
49,27,P,Belum Menikah,SMA,UMKM,3109000,39,18447000,24,12,0,0,0,0.343,1950000,346000,1,Makassar,100000,Biasa,Ya,1323000,Tidak,Aktif
50,41,L,Menikah,SMA,Nelayan,3813000,87,24067000,36,14,3,2,2,0.252,8700000,970000,1,Jakarta,100000,Biasa,Ya,2188000,Tidak,Aktif
51,35,L,Belum Menikah,SMA,UMKM,3992000,37,19138000,24,11,0,0,0,0.244,3700000,593000,1,Semarang,100000,Biasa,Tidak,5405000,Tidak,Aktif
52,45,P,Menikah,SMA,Petani,3210000,41,10394000,24,12,2,1,0,0.188,2050000,318000,0,Surabaya,100000,Biasa,Tidak,2278000,Tidak,Aktif
53,31,P,Belum Menikah,SMA,Pedagang,3921000,33,22395000,36,11,0,0,0,0.211,3300000,100000,1,Jakarta,100000,Biasa,Tidak,1126000,Tidak,Pasif
54,24,L,Belum Menikah,SMA,Wiraswasta,3707000,17,13855000,24,11,0,0,0,0.191,850000,247000,1,Bandung,100000,Biasa,Tidak,322000,Tidak,Pasif
55,32,L,Belum Menikah,D3,Petani,3462000,78,38082000,60,14,0,0,0,0.271,3900000,1886000,0,Bandung,100000,Biasa,Ya,1314000,Tidak,Aktif
56,36,L,Menikah,SMA,Nelayan,2773000,115,6252000,12,11,3,0,0,0.224,5750000,920000,0,Surabaya,100000,Biasa,Tidak,2238000,Tidak,Aktif
57,43,P,Menikah,S1,Pedagang,9572000,31,77772000,48,13,1,1,0,0.3,6200000,1504000,0,Surabaya,100000,Biasa,Tidak,1727000,Tidak,Aktif
58,52,P,Belum Menikah,D3,Nelayan,3424000,28,19145000,24,12,0,2,0,0.279,1400000,735000,1,Surabaya,100000,Biasa,Ya,3438000,Tidak,Aktif
59,45,P,Menikah,D3,Wiraswasta,7853000,99,16990000,12,11,0,0,0,0.21,14850000,496000,0,Semarang,100000,Biasa,Ya,8828000,Tidak,Aktif
60,44,L,Menikah,SMA,UMKM,4760000,32,51250000,48,13,4,0,0,0.351,4800000,768000,1,Jakarta,100000,Biasa,Ya,2908000,Tidak,Pasif
61,37,P,Belum Menikah,S1,Karyawan Swasta,7193000,72,20185000,36,13,1,0,0,0.15,10800000,977000,0,Surabaya,100000,Biasa,Ya,8531000,Ya,Aktif
62,35,P,Belum Menikah,D3,Petani,3296000,93,14489000,24,12,0,2,0,0.225,4650000,1475000,0,Semarang,100000,Biasa,Ya,1087000,Tidak,Aktif
63,27,P,Belum Menikah,D3,PNS,4930000,34,21320000,24,11,0,0,0,0.23,5100000,600000,0,Bandung,100000,Biasa,Tidak,0,Ya,Pasif
64,32,L,Belum Menikah,S1,UMKM,4632000,60,13712000,12,12,0,0,0,0.273,6000000,779000,0,Bandung,100000,Biasa,Tidak,4407000,Tidak,Aktif
65,29,L,Belum Menikah,D3,Nelayan,3245000,62,14085000,24,13,1,1,3,0.219,3100000,476000,1,Palembang,100000,Biasa,Ya,1875000,Tidak,Aktif
66,40,L,Menikah,S1,Guru,6845000,126,52845000,60,14,3,1,0,0.292,18900000,1658000,0,Medan,100000,Biasa,Ya,9329000,Ya,Aktif
67,36,L,Menikah,SMA,Guru,4164000,5,11792000,24,12,0,0,0,0.154,250000,261000,0,Palembang,25000,Calon,Tidak,2027000,Ya,Pasif
68,52,L,Menikah,S1,PNS,8822000,64,86398000,60,13,3,0,0,0.254,12800000,1491000,0,Medan,100000,Biasa,Ya,3446000,Ya,Aktif
69,23,P,Belum Menikah,SMA,Karyawan Swasta,2698000,22,10453000,36,12,0,0,0,0.155,1100000,100000,1,Medan,100000,Biasa,Tidak,713000,Ya,Pasif
70,39,L,Belum Menikah,SMA,Karyawan Swasta,4510000,93,11366000,12,11,0,3,2,0.24,9300000,771000,0,Makassar,100000,Biasa,Tidak,3332000,Ya,Aktif
71,40,P,Menikah,SMA,Nelayan,3301000,20,18337000,24,12,1,0,0,0.312,2000000,198000,0,Palembang,100000,Biasa,Ya,828000,Tidak,Aktif
72,39,L,Belum Menikah,D3,Nelayan,3496000,32,10569000,12,11,0,2,1,0.3,3200000,941000,0,Yogyakarta,100000,Biasa,Ya,2681000,Tidak,Aktif
73,25,L,Belum Menikah,SMA,UMKM,3607000,19,13064000,36,13,0,0,0,0.166,950000,198000,1,Jakarta,100000,Biasa,Tidak,1180000,Tidak,Pasif
74,30,P,Belum Menikah,SMA,Pedagang,4087000,11,36111000,36,13,0,1,2,0.314,1650000,259000,1,Palembang,75000,Calon,Ya,3682000,Tidak,Aktif
75,34,P,Cerai,SMA,Nelayan,2774000,34,7258000,12,11,0,1,0,0.251,1700000,364000,0,Semarang,100000,Biasa,Ya,1251000,Tidak,Aktif
76,30,L,Belum Menikah,SMA,UMKM,3195000,16,15508000,36,13,0,0,0,0.178,1600000,395000,0,Surabaya,100000,Biasa,Ya,1693000,Tidak,Aktif
77,36,P,Menikah,S1,Guru,6350000,50,52370000,60,13,1,2,1,0.219,7500000,1015000,0,Palembang,100000,Biasa,Ya,1279000,Ya,Aktif
78,39,L,Menikah,S1,Perawat,6406000,60,22147000,24,11,0,0,0,0.178,9000000,3212000,0,Semarang,100000,Biasa,Ya,1507000,Tidak,Aktif
79,28,L,Belum Menikah,S1,Karyawan Swasta,6549000,13,50006000,36,12,0,1,0,0.277,1950000,223000,0,Bandung,100000,Biasa,Ya,4073000,Ya,Aktif
80,41,P,Menikah,D3,Petani,4054000,50,18386000,36,12,1,2,0,0.316,5000000,920000,0,Jakarta,100000,Biasa,Ya,1672000,Tidak,Aktif
81,32,L,Menikah,SMA,Nelayan,2643000,24,4981000,12,11,2,2,2,0.248,1200000,100000,1,Jakarta,100000,Biasa,Tidak,211000,Tidak,Pasif
82,58,P,Menikah,S1,UMKM,5599000,81,41749000,36,12,2,2,0,0.294,8100000,2829000,0,Surabaya,100000,Biasa,Tidak,2667000,Tidak,Aktif
83,37,P,Menikah,SMA,Petani,2600000,40,7118000,12,11,4,0,0,0.303,2000000,281000,1,Medan,100000,Biasa,Tidak,1706000,Tidak,Aktif
84,55,L,Menikah,S1,PNS,13537000,86,81001000,36,13,0,0,0,0.224,17200000,2999000,0,Bandung,100000,Biasa,Ya,27205000,Ya,Aktif
85,47,L,Menikah,SMA,Pedagang,6178000,22,11215000,12,12,0,0,0,0.178,4400000,321000,0,Palembang,100000,Biasa,Tidak,612000,Tidak,Pasif
86,46,L,Menikah,S2,Pedagang,11834000,57,83688000,48,13,3,1,0,0.234,8550000,3001000,0,Semarang,100000,Biasa,Ya,1954000,Tidak,Aktif
87,42,L,Menikah,SMA,Karyawan Swasta,5358000,84,29040000,48,13,3,0,0,0.31,12600000,1956000,1,Yogyakarta,100000,Biasa,Ya,3428000,Ya,Aktif
88,27,L,Belum Menikah,SMA,Buruh,2513000,39,4197000,12,11,0,1,0,0.16,1950000,495000,0,Medan,100000,Biasa,Ya,1193000,Ya,Aktif
89,25,P,Belum Menikah,SMA,PNS,3324000,15,15746000,24,13,0,2,2,0.248,750000,299000,1,Semarang,100000,Biasa,Ya,592000,Ya,Pasif
90,35,P,Belum Menikah,SMA,Karyawan Swasta,5173000,20,12992000,12,11,0,2,0,0.304,1000000,596000,1,Yogyakarta,100000,Biasa,Ya,1019000,Ya,Aktif
91,42,L,Menikah,SMA,Petani,2619000,26,16220000,48,13,4,3,0,0.331,1300000,266000,1,Palembang,100000,Biasa,Ya,1117000,Tidak,Aktif
92,33,P,Belum Menikah,D3,Karyawan Swasta,7472000,79,60966000,48,13,0,0,0,0.245,11850000,1547000,0,Jakarta,100000,Biasa,Ya,13973000,Ya,Aktif
93,33,L,Belum Menikah,S1,PNS,6449000,78,32974000,48,13,0,0,0,0.158,11700000,1865000,0,Medan,100000,Biasa,Ya,1494000,Ya,Aktif
94,40,L,Menikah,D3,UMKM,4093000,20,10984000,12,12,2,2,1,0.326,3000000,160000,1,Medan,100000,Biasa,Ya,1288000,Tidak,Aktif
95,48,L,Menikah,S2,Karyawan Swasta,11735000,39,69260000,24,13,1,2,2,0.305,7800000,2259000,0,Yogyakarta,100000,Biasa,Ya,4862000,Tidak,Pasif
96,34,P,Menikah,SMA,Karyawan Swasta,4730000,29,8885000,12,11,0,2,1,0.176,2900000,695000,0,Bandung,100000,Biasa,Ya,5377000,Ya,Aktif
97,28,L,Belum Menikah,S1,Guru,4701000,4,14278000,24,11,0,0,0,0.152,400000,149000,0,Surabaya,100000,Calon,Tidak,765000,Ya,Pasif
98,33,P,Menikah,SMA,Buruh,2968000,29,12204000,24,12,1,0,0,0.221,1450000,143000,1,Makassar,100000,Biasa,Ya,3599000,Tidak,Aktif
99,31,L,Belum Menikah,SMA,UMKM,2911000,106,7150000,24,13,0,1,0,0.13,5300000,680000,0,Palembang,100000,Biasa,Tidak,1379000,Tidak,Aktif
100,26,L,Belum Menikah,SMA,Buruh,2914000,10,8483000,24,13,0,0,0,0.212,500000,188000,1,Makassar,75000,Calon,Tidak,1495000,Tidak,Aktif
101,44,L,Menikah,SMA,Buruh,2559000,107,8123000,24,12,3,1,1,0.219,5350000,776000,1,Semarang,100000,Biasa,Tidak,1568000,Tidak,Aktif
102,65,P,Menikah,S1,Karyawan Swasta,7305000,42,31223000,48,13,4,0,0,0.186,4200000,477000,0,Palembang,100000,Biasa,Ya,9607000,Ya,Pasif
103,38,L,Menikah,S1,PNS,9182000,54,45313000,60,13,4,1,1,0.218,10800000,1353000,0,Makassar,100000,Biasa,Ya,6895000,Tidak,Aktif
104,33,P,Belum Menikah,SMA,Nelayan,2712000,64,8639000,36,13,0,2,1,0.119,3200000,605000,1,Makassar,100000,Biasa,Ya,1172000,Tidak,Aktif
105,38,L,Menikah,SMA,Pedagang,5039000,15,28930000,36,12,4,0,0,0.225,1500000,268000,1,Medan,100000,Biasa,Ya,5977000,Tidak,Aktif
106,31,P,Belum Menikah,SMA,Karyawan Swasta,6271000,31,13325000,12,10,1,0,0,0.219,6200000,710000,0,Medan,100000,Biasa,Ya,2742000,Ya,Aktif
107,35,L,Belum Menikah,SMA,Karyawan Swasta,5480000,5,16786000,60,15,0,1,0,0.103,500000,188000,0,Makassar,75000,Calon,Tidak,1494000,Ya,Aktif
108,36,P,Menikah,S1,Wiraswasta,7797000,127,34270000,24,13,4,4,6,0.241,19050000,1106000,1,Semarang,100000,Biasa,Ya,10405000,Tidak,Aktif
109,30,P,Menikah,SMA,Pedagang,3600000,29,25458000,24,11,0,1,0,0.343,1450000,796000,1,Makassar,100000,Biasa,Tidak,3206000,Tidak,Aktif
110,36,P,Menikah,S1,PNS,10412000,35,76366000,60,13,1,0,0,0.203,7000000,1016000,0,Jakarta,100000,Biasa,Ya,3489000,Ya,Aktif
111,31,L,Menikah,S1,Karyawan Swasta,10286000,60,75721000,60,13,1,0,0,0.193,12000000,1155000,0,Makassar,100000,Biasa,Ya,9660000,Ya,Aktif
112,32,P,Menikah,D3,Guru,4380000,64,44770000,60,13,2,1,1,0.253,6400000,301000,0,Surabaya,100000,Biasa,Ya,4713000,Ya,Aktif
113,47,P,Menikah,D3,Nelayan,3176000,52,9661000,12,11,4,1,0,0.325,5200000,748000,0,Palembang,100000,Biasa,Ya,377000,Tidak,Aktif
114,33,P,Menikah,S1,Wiraswasta,6072000,66,20785000,24,11,1,0,0,0.18,9900000,597000,0,Medan,100000,Biasa,Ya,10367000,Tidak,Aktif
115,31,P,Menikah,S1,UMKM,5036000,41,21429000,48,13,3,0,0,0.142,4100000,357000,0,Medan,100000,Biasa,Ya,1903000,Tidak,Pasif
116,49,P,Menikah,SMA,UMKM,3170000,47,6822000,12,12,1,1,1,0.201,2350000,788000,1,Surabaya,100000,Biasa,Ya,1881000,Tidak,Aktif
117,28,P,Belum Menikah,S1,Perawat,5009000,23,36146000,36,13,0,0,0,0.258,1150000,393000,1,Semarang,100000,Biasa,Ya,1546000,Tidak,Aktif
118,25,L,Belum Menikah,S1,Pedagang,8640000,38,21694000,24,13,0,0,0,0.151,7600000,1156000,0,Jakarta,100000,Biasa,Ya,16491000,Tidak,Aktif
119,50,P,Menikah,S1,Guru,8779000,15,79695000,48,13,4,0,0,0.286,3000000,738000,1,Medan,100000,Biasa,Ya,1824000,Tidak,Aktif
120,45,P,Menikah,SMA,Karyawan Swasta,5682000,71,23809000,24,12,1,1,0,0.255,7100000,928000,0,Bandung,100000,Biasa,Tidak,2449000,Ya,Pasif
121,57,P,Menikah,SMA,UMKM,3876000,21,22224000,36,13,1,0,0,0.208,2100000,161000,0,Jakarta,100000,Biasa,Ya,590000,Tidak,Pasif
122,33,P,Menikah,S1,Karyawan Swasta,8063000,38,11902000,12,10,4,1,0,0.228,3800000,1554000,0,Palembang,100000,Biasa,Tidak,4139000,Tidak,Aktif
123,34,L,Belum Menikah,SMA,UMKM,7066000,31,31571000,24,12,1,0,0,0.236,3100000,1526000,1,Jakarta,100000,Biasa,Ya,8500000,Tidak,Aktif
124,38,L,Menikah,SMA,Karyawan Swasta,3807000,53,17728000,48,14,3,2,4,0.159,2650000,1295000,1,Semarang,100000,Biasa,Tidak,1670000,Ya,Aktif
125,47,P,Menikah,S1,Nelayan,3831000,35,15235000,24,11,1,1,0,0.211,3500000,201000,0,Semarang,100000,Biasa,Ya,1845000,Tidak,Aktif
126,44,L,Menikah,SMA,UMKM,3290000,72,6673000,12,11,4,4,0,0.274,3600000,574000,1,Surabaya,100000,Biasa,Ya,1946000,Tidak,Aktif
127,31,P,Menikah,SMA,UMKM,3001000,34,8430000,24,13,3,0,0,0.171,1700000,497000,1,Medan,100000,Biasa,Tidak,832000,Tidak,Pasif
128,30,P,Menikah,SMA,Nelayan,3484000,14,29086000,60,15,3,0,0,0.267,1400000,210000,1,Bandung,100000,Biasa,Ya,1292000,Tidak,Aktif
129,31,P,Menikah,D3,Pedagang,5611000,33,51832000,36,12,0,2,0,0.318,3300000,599000,1,Yogyakarta,100000,Biasa,Ya,12375000,Tidak,Aktif
130,29,P,Belum Menikah,S2,Karyawan Swasta,9712000,13,16274000,12,11,0,1,0,0.158,2600000,1515000,0,Jakarta,100000,Biasa,Ya,8602000,Ya,Aktif
131,36,P,Cerai,S1,Wiraswasta,6909000,105,27647000,24,12,2,2,0,0.289,15750000,1671000,0,Palembang,100000,Biasa,Tidak,5197000,Tidak,Aktif
132,32,P,Menikah,SMA,PNS,4486000,45,40246000,60,14,4,0,0,0.302,6750000,285000,1,Palembang,100000,Biasa,Tidak,1216000,Ya,Pasif
133,27,P,Menikah,D3,Wiraswasta,6684000,66,59465000,48,13,1,4,2,0.286,9900000,2123000,1,Semarang,100000,Biasa,Ya,4870000,Tidak,Aktif
134,65,P,Menikah,SMA,Karyawan Swasta,4392000,37,24268000,24,13,0,0,0,0.279,3700000,692000,0,Yogyakarta,100000,Biasa,Ya,963000,Ya,Aktif
135,31,L,Menikah,SMA,PNS,4176000,6,17229000,24,12,1,1,0,0.217,600000,342000,0,Medan,25000,Calon,Ya,1157000,Ya,Aktif
136,29,L,Belum Menikah,SMA,PNS,3047000,52,4894000,12,12,1,1,2,0.192,2600000,461000,0,Palembang,100000,Biasa,Tidak,1360000,Ya,Aktif
137,37,P,Menikah,S1,UMKM,4817000,66,7697000,12,11,3,1,0,0.228,6600000,909000,0,Semarang,100000,Biasa,Ya,4888000,Tidak,Aktif
138,28,L,Menikah,SMA,PNS,4300000,17,16732000,48,12,0,1,0,0.126,1700000,227000,0,Jakarta,100000,Biasa,Ya,0,Ya,Pasif
139,41,P,Menikah,S1,Karyawan Swasta,8254000,54,66593000,36,12,1,1,0,0.309,10800000,501000,0,Makassar,100000,Biasa,Ya,3693000,Ya,Pasif
140,35,L,Belum Menikah,D3,Karyawan Swasta,6946000,80,15267000,24,12,3,1,0,0.161,12000000,1248000,0,Jakarta,100000,Biasa,Ya,5938000,Ya,Aktif
141,22,L,Belum Menikah,SMA,PNS,5801000,27,25406000,24,12,0,2,0,0.243,2700000,1257000,0,Jakarta,100000,Biasa,Ya,1291000,Tidak,Pasif
142,29,P,Belum Menikah,S1,PNS,6469000,10,17709000,12,12,0,1,0,0.262,1500000,273000,0,Semarang,75000,Calon,Tidak,2580000,Ya,Pasif
143,31,P,Belum Menikah,SMA,Petani,2862000,14,15714000,36,14,0,1,3,0.208,1400000,108000,0,Palembang,100000,Biasa,Ya,2298000,Tidak,Pasif
144,28,L,Menikah,SMA,UMKM,3115000,10,14674000,24,13,2,0,0,0.281,500000,226000,1,Semarang,25000,Calon,Ya,586000,Tidak,Aktif
145,43,P,Belum Menikah,S2,Karyawan Swasta,8557000,19,18149000,12,12,1,0,0,0.248,3800000,555000,0,Yogyakarta,100000,Biasa,Tidak,3868000,Ya,Aktif
146,29,P,Belum Menikah,SMA,UMKM,3331000,17,26686000,36,11,0,0,0,0.281,850000,263000,1,Yogyakarta,100000,Biasa,Ya,1177000,Tidak,Aktif
147,34,L,Belum Menikah,SMA,Guru,3121000,70,24563000,36,12,0,1,0,0.266,3500000,811000,0,Medan,100000,Biasa,Ya,1691000,Tidak,Aktif
148,28,P,Belum Menikah,D3,UMKM,5100000,29,10288000,12,12,0,0,0,0.197,2900000,884000,0,Surabaya,100000,Biasa,Ya,759000,Ya,Aktif
149,49,L,Menikah,S1,Guru,9531000,69,47014000,48,13,2,1,0,0.224,13800000,2513000,0,Yogyakarta,100000,Biasa,Tidak,5545000,Ya,Aktif
150,42,L,Menikah,D3,Pedagang,6826000,73,30169000,24,12,4,1,0,0.331,14600000,458000,0,Bandung,100000,Biasa,Tidak,543000,Tidak,Pasif
151,24,P,Belum Menikah,SMA,Buruh,2590000,16,21773000,48,14,0,0,0,0.239,800000,102000,1,Jakarta,100000,Biasa,Tidak,426000,Tidak,Aktif
152,39,P,Menikah,D3,Buruh,2630000,72,21249000,48,13,1,1,0,0.228,3600000,871000,1,Surabaya,100000,Biasa,Tidak,805000,Tidak,Aktif
153,35,P,Menikah,S1,PNS,7502000,63,46889000,60,13,1,1,0,0.174,9450000,1976000,0,Jakarta,100000,Biasa,Tidak,6435000,Ya,Aktif
154,37,L,Belum Menikah,SMA,Pedagang,7181000,74,18606000,24,13,0,2,0,0.137,14800000,2234000,0,Surabaya,100000,Biasa,Tidak,10306000,Tidak,Aktif
155,34,P,Belum Menikah,D3,Wiraswasta,7359000,13,25513000,24,11,0,0,0,0.187,1300000,334000,0,Makassar,100000,Biasa,Tidak,498000,Tidak,Pasif
156,49,P,Menikah,SMA,PNS,5722000,19,11624000,12,11,1,0,0,0.188,1900000,188000,0,Semarang,100000,Biasa,Tidak,1116000,Ya,Aktif
157,47,L,Menikah,SMA,UMKM,4737000,43,8234000,12,10,2,2,0,0.21,4300000,235000,0,Medan,100000,Biasa,Tidak,3201000,Tidak,Pasif
